# Label: Y
# Hands: Left (first) + Right (second)
# Timestamp: 2025-11-12 21:29:19
# Samples per hand: 50
# Normalization: Min-Max on X and Y axes
# Order: First 50 samples of Left hand, then 50 samples of Right hand
sample,hand_type,landmark_id,landmark_name,x_norm,y_norm,z_norm
1,Left,0,WRIST,0.2713316652736423,1.0,1.0
1,Left,1,THUMB_CMC,0.5086806390314188,0.8702401107971068,0.8919602259451856
1,Left,2,THUMB_MCP,0.7128406506824927,0.648292096331929,0.7301818767088477
1,Left,3,THUMB_IP,0.8583062358410807,0.5012930697041345,0.4935798878044064
1,Left,4,THUMB_TIP,1.0,0.4117503866441372,0.30306478892546346
1,Left,5,INDEX_FINGER_MCP,0.47857407132748886,0.4147904528213514,0.9973339112127474
1,Left,6,INDEX_FINGER_PIP,0.4964840635690302,0.3658920232198158,0.7353798923986099
1,Left,7,INDEX_FINGER_DIP,0.5011574506636454,0.5715606647423218,0.6262069434726177
1,Left,8,INDEX_FINGER_TIP,0.5052858716272256,0.7026987979172455,0.5684605246391636
1,Left,9,MIDDLE_FINGER_MCP,0.329755857529212,0.4121448426224804,0.8169311679754993
1,Left,10,MIDDLE_FINGER_PIP,0.36331528737620067,0.37037266010158415,0.3673647277577068
1,Left,11,MIDDLE_FINGER_DIP,0.3964197042362041,0.5896290333039788,0.11831487942368406
1,Left,12,MIDDLE_FINGER_TIP,0.4126254056592307,0.7386179794647696,0.030634140902590125
1,Left,13,RING_FINGER_MCP,0.18666209047894158,0.4371709576914044,0.6089653763384557
1,Left,14,RING_FINGER_PIP,0.2171166911806832,0.3514787563280113,0.25453090292990477
1,Left,15,RING_FINGER_DIP,0.27444950549865366,0.549418883017595,0.17197321757421552
1,Left,16,RING_FINGER_TIP,0.3166001031248544,0.7000417639506883,0.19786450404302555
1,Left,17,PINKY_MCP,0.05530972527346024,0.473119202647895,0.37115790143967353
1,Left,18,PINKY_PIP,0.013553368718472895,0.26135278912968024,0.15802174747333064
1,Left,19,PINKY_DIP,0.0,0.12949949449827988,0.05285932857520269
1,Left,20,PINKY_TIP,0.0012937189681731854,0.0,0.0
2,Left,0,WRIST,0.2808980142502927,1.0,0.9925450257088604
2,Left,1,THUMB_CMC,0.5184025155082218,0.8699643948468313,0.8566164799607059
2,Left,2,THUMB_MCP,0.7228856135959999,0.6491514452452299,0.692824378400887
2,Left,3,THUMB_IP,0.8668562972312367,0.4997489423313477,0.45550042332917706
2,Left,4,THUMB_TIP,1.0,0.4049551793163434,0.2638301071119442
2,Left,5,INDEX_FINGER_MCP,0.48809838460874694,0.42300209181115084,1.0
2,Left,6,INDEX_FINGER_PIP,0.4936709924063863,0.3602601925380418,0.7353459701846821
2,Left,7,INDEX_FINGER_DIP,0.49958251211317956,0.5543148310217207,0.6217323897712078
2,Left,8,INDEX_FINGER_TIP,0.5102895222561712,0.6897560741167946,0.5647569441037668
2,Left,9,MIDDLE_FINGER_MCP,0.3363438733555012,0.42282699001012297,0.8345537497199972
2,Left,10,MIDDLE_FINGER_PIP,0.3569733454183555,0.36751246550057604,0.37370799762423457
2,Left,11,MIDDLE_FINGER_DIP,0.39288879998179976,0.5808125059655604,0.1049302512268665
2,Left,12,MIDDLE_FINGER_TIP,0.41736293526575224,0.7377490915543797,0.010387729673376983
2,Left,13,RING_FINGER_MCP,0.19087888651229948,0.44799980641336395,0.6373070362854316
2,Left,14,RING_FINGER_PIP,0.20580167218619047,0.35303463856434,0.2647781278322271
2,Left,15,RING_FINGER_DIP,0.26598012863736975,0.5457758454963548,0.15803625807317206
2,Left,16,RING_FINGER_TIP,0.3187644469345609,0.6993619707119552,0.17499098595320098
2,Left,17,PINKY_MCP,0.05833094500233493,0.48381165364662104,0.40763001688362244
2,Left,18,PINKY_PIP,0.01440200611726842,0.26652846731813945,0.1797570255664899
2,Left,19,PINKY_DIP,0.0,0.12995040686802364,0.05950891813746453
2,Left,20,PINKY_TIP,0.00240261835565531,0.0,0.0
3,Left,0,WRIST,0.27825223428393275,1.0,0.987558398831884
3,Left,1,THUMB_CMC,0.5173808674899902,0.8718776398860644,0.8646127339548686
3,Left,2,THUMB_MCP,0.7204332173281063,0.6551997593002514,0.7042544348253775
3,Left,3,THUMB_IP,0.8628283157961493,0.5111553422614865,0.46930393183730756
3,Left,4,THUMB_TIP,1.0,0.42088896897519107,0.28047291476689123
3,Left,5,INDEX_FINGER_MCP,0.48064774466916393,0.4295792879188895,1.0
3,Left,6,INDEX_FINGER_PIP,0.48973665938529676,0.3626872407642217,0.740862645570737
3,Left,7,INDEX_FINGER_DIP,0.4955727325385288,0.5572705045271721,0.6308331722030474
3,Left,8,INDEX_FINGER_TIP,0.5058496859837894,0.6911599049765004,0.5757142325025149
3,Left,9,MIDDLE_FINGER_MCP,0.32569569307974233,0.4277669312269901,0.8328826104805822
3,Left,10,MIDDLE_FINGER_PIP,0.3497476355111091,0.3737627355129665,0.3769911290102079
3,Left,11,MIDDLE_FINGER_DIP,0.3877824818575748,0.5854146863216085,0.10830593717810207
3,Left,12,MIDDLE_FINGER_TIP,0.4125639198474363,0.7388943351248052,0.012995286500666732
3,Left,13,RING_FINGER_MCP,0.17801593619565784,0.44940560717999417,0.6366787433235213
3,Left,14,RING_FINGER_PIP,0.19775649683886165,0.35855847962400583,0.27149531946061684
3,Left,15,RING_FINGER_DIP,0.2625627541978736,0.5497891397463726,0.1599259961573789
3,Left,16,RING_FINGER_TIP,0.3167805661165942,0.7011570450138287,0.17257501812093656
