# Label: V
# Hands: Left (first) + Right (second)
# Timestamp: 2025-11-12 21:21:38
# Samples per hand: 50
# Normalization: Min-Max on X and Y axes
# Order: First 50 samples of Left hand, then 50 samples of Right hand
sample,hand_type,landmark_id,landmark_name,x_norm,y_norm,z_norm
1,Left,0,WRIST,0.2891731728501118,1.0,1.0
1,Left,1,THUMB_CMC,0.6359025520059611,0.9269160257067888,0.7877258256168952
1,Left,2,THUMB_MCP,0.8929467434277659,0.7668015484121571,0.5837110759663331
1,Left,3,THUMB_IP,0.8466598005666905,0.6237142072459997,0.34084486556469795
1,Left,4,THUMB_TIP,0.6157870306648885,0.5196489777423132,0.12462031392774074
1,Left,5,INDEX_FINGER_MCP,0.7471658352990314,0.5368375599165132,0.8849739073634387
1,Left,6,INDEX_FINGER_PIP,0.9075445782331975,0.337088861530076,0.6304756391345486
1,Left,7,INDEX_FINGER_DIP,0.9710577749089926,0.21706101570165204,0.44577445970668816
1,Left,8,INDEX_FINGER_TIP,1.0,0.1098710823204351,0.29493118961324366
1,Left,9,MIDDLE_FINGER_MCP,0.48160942016260316,0.5297176688178951,0.7508046396917295
1,Left,10,MIDDLE_FINGER_PIP,0.46074913264071155,0.27940798457925203,0.413789196176586
1,Left,11,MIDDLE_FINGER_DIP,0.4562165574260668,0.12658376010611583,0.16685776057282137
1,Left,12,MIDDLE_FINGER_TIP,0.4355723147458198,0.0,0.0
1,Left,13,RING_FINGER_MCP,0.23010303896116224,0.5696768904383158,0.5744908290413444
1,Left,14,RING_FINGER_PIP,0.3703672097846671,0.45859815555121686,0.23333217609760315
1,Left,15,RING_FINGER_DIP,0.5124365320816149,0.606952493235983,0.20553806907771113
1,Left,16,RING_FINGER_TIP,0.5705574355591204,0.718860145133971,0.2570439410385391
1,Left,17,PINKY_MCP,0.0,0.6403264029405349,0.3459131794018568
1,Left,18,PINKY_PIP,0.18753631992861788,0.5612202501775153,0.10179102642411837
1,Left,19,PINKY_DIP,0.3488501497410974,0.6560808863966224,0.10193139803176117
1,Left,20,PINKY_TIP,0.42921104714352837,0.7428364491918149,0.152668067948637
2,Left,0,WRIST,0.31460712255819545,1.0,1.0
2,Left,1,THUMB_CMC,0.6551907700702658,0.9259669494299936,0.8049554601257751
2,Left,2,THUMB_MCP,0.9046556818755579,0.76469792557391,0.6083099259725308
2,Left,3,THUMB_IP,0.8488951516187443,0.6241975320230536,0.3712396017315848
2,Left,4,THUMB_TIP,0.6109772869502219,0.5271863583798473,0.1584017008904954
2,Left,5,INDEX_FINGER_MCP,0.7484361472538253,0.5373696409796886,0.8795897576660633
2,Left,6,INDEX_FINGER_PIP,0.908268795253666,0.34063206054635964,0.6263632150175926
2,Left,7,INDEX_FINGER_DIP,0.9720445079981823,0.22148245532170352,0.4447073158758949
2,Left,8,INDEX_FINGER_TIP,1.0,0.11584595623411212,0.29644979359114715
2,Left,9,MIDDLE_FINGER_MCP,0.4852140746515546,0.5298951531899943,0.7401700773405222
2,Left,10,MIDDLE_FINGER_PIP,0.46711802790713186,0.2792274766070254,0.4062911832155519
2,Left,11,MIDDLE_FINGER_DIP,0.46507170872006387,0.12610427253443443,0.16486910111899572
2,Left,12,MIDDLE_FINGER_TIP,0.4460131841580728,0.0,0.0
2,Left,13,RING_FINGER_MCP,0.23309547003594122,0.5700175441668398,0.5615011083801232
2,Left,14,RING_FINGER_PIP,0.3834837175972055,0.45736337834332447,0.2265262612348141
2,Left,15,RING_FINGER_DIP,0.5240623623369062,0.6079196115288108,0.1964780587579405
2,Left,16,RING_FINGER_TIP,0.5778417947353233,0.722390952776966,0.2416525551533491
2,Left,17,PINKY_MCP,0.0,0.641644582268977,0.3332235438927691
2,Left,18,PINKY_PIP,0.19807560022845994,0.5661532183350112,0.09115860001730945
2,Left,19,PINKY_DIP,0.36263707248878196,0.6615087165151582,0.08671962927818685
2,Left,20,PINKY_TIP,0.4417358137819894,0.747512019081064,0.13071002353245764
3,Left,0,WRIST,0.3188842719778267,1.0,1.0
3,Left,1,THUMB_CMC,0.6626653648076887,0.9232632638992113,0.8081470319394073
3,Left,2,THUMB_MCP,0.9156523141832303,0.7682148480209663,0.6085042710769798
3,Left,3,THUMB_IP,0.8847070049604466,0.6328963905297752,0.37180242415294035
3,Left,4,THUMB_TIP,0.6562447813329951,0.5318058602453906,0.158862101932719
3,Left,5,INDEX_FINGER_MCP,0.7531371711635583,0.5326638953800925,0.8660679208402076
3,Left,6,INDEX_FINGER_PIP,0.9122666847122367,0.3375505006478002,0.6132040345254937
3,Left,7,INDEX_FINGER_DIP,0.973114944025561,0.21984570886650856,0.42611853272868816
3,Left,8,INDEX_FINGER_TIP,1.0,0.11300821031839081,0.27628521561422065
3,Left,9,MIDDLE_FINGER_MCP,0.4848549900076447,0.5268054443826645,0.7370706479604687
3,Left,10,MIDDLE_FINGER_PIP,0.4613234340492231,0.2771418324681853,0.4049364746754644
3,Left,11,MIDDLE_FINGER_DIP,0.4565055322372166,0.12554059123312877,0.16389327255578737
3,Left,12,MIDDLE_FINGER_TIP,0.4391887985536248,0.0,0.0
3,Left,13,RING_FINGER_MCP,0.2299653892791496,0.5680789106190971,0.5719698120276107
3,Left,14,RING_FINGER_PIP,0.39403914258521366,0.4566005416642317,0.25164580736617553
3,Left,15,RING_FINGER_DIP,0.5451791316630945,0.600965650223802,0.22500728897813346
3,Left,16,RING_FINGER_TIP,0.6058458927278059,0.7135949768632408,0.2672609158235692
3,Left,17,PINKY_MCP,0.0,0.6407753524103186,0.35903136867030283
